Area Code,Year,Item Code,Production,Import Quantity,Stock Variation,Domestic supply quantity,Processing,Residuals,Food,Food supply quantity (kg/capita/yr),Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day),Export Quantity,Losses,Feed,Seed,Other uses (non-food),Tourist consumption
2,2018,2731,130.0,5.0,-1.0,135.0,0.0,0.0,135.0,3.63,21.0,1.51,1.66,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2732,161.0,0.0,0.0,160.0,0.0,0.0,160.0,4.31,27.0,1.68,2.24,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2734,29.0,25.0,0.0,53.0,0.0,0.0,53.0,1.43,5.0,0.51,0.31,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2735,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.31,1.0,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2736,56.0,5.0,0.0,61.0,0.0,0.0,58.0,1.56,5.0,0.7,0.18,0.0,3.0,0.0,0.0,0.0,0.0
2,2018,2740,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.99,22.0,0.03,2.47,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2743,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2737,12.0,0.0,0.0,12.0,0.0,0.0,11.0,0.3,9.0,0.01,0.97,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2744,22.0,44.0,0.0,67.0,0.0,0.0,57.0,1.54,6.0,0.45,0.43,0.0,6.0,0.0,3.0,0.0,0.0
2,2018,2848,2128.0,53.0,0.0,2181.0,732.0,0.0,1375.0,37.0,94.0,5.68,4.91,0.0,72.0,2.0,0.0,0.0,0.0
2,2018,2761,9.0,0.0,0.0,9.0,0.0,0.0,9.0,0.24,0.0,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2511,3613.0,3376.0,-6.0,6995.0,0.0,153.0,5898.0,158.66,1360.0,36.64,4.55,0.0,542.0,181.0,221.0,0.0,0.0
2,2018,2805,352.0,425.0,152.0,626.0,0.0,0.0,589.0,15.84,108.0,2.06,0.2,0.0,25.0,0.0,12.0,0.0,0.0
2,2018,2513,57.0,18.0,-4.0,77.0,0.0,0.0,51.0,1.37,12.0,0.37,0.11,2.0,8.0,15.0,4.0,0.0,0.0
2,2018,2514,107.0,57.0,-1.0,165.0,0.0,8.0,64.0,1.72,15.0,0.38,0.2,0.0,16.0,68.0,9.0,0.0,0.0
2,2018,2515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2516,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2,2018,2517,12.0,1.0,0.0,13.0,0.0,0.0,12.0,0.32,3.0,0.06,0.02,0.0,1.0,0.0,0.0,0.0,0.0
2,2018,2518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2532,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2531,616.0,332.0,600.0,336.0,0.0,0.0,276.0,7.43,14.0,0.23,0.03,12.0,27.0,0.0,33.0,0.0,0.0
2,2018,2533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2535,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,2018,2534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2536,25.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0
2,2018,2537,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2542,1.0,716.0,272.0,444.0,0.0,0.0,444.0,11.95,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2543,0.0,27.0,0.0,27.0,0.0,0.0,27.0,0.74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2745,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2546,0.0,48.0,0.0,-5.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0
2,2018,2547,0.0,27.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0
2,2018,2549,62.0,60.0,-6.0,100.0,0.0,0.0,84.0,2.25,22.0,1.44,0.13,29.0,3.0,9.0,4.0,0.0,0.0
2,2018,2551,49.0,16.0,-1.0,47.0,0.0,0.0,44.0,1.18,11.0,0.3,0.89,20.0,3.0,0.0,0.0,0.0,0.0
2,2018,2555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2556,0.0,63.0,0.0,61.0,0.0,0.0,61.0,1.65,19.0,0.84,1.61,1.0,0.0,0.0,0.0,0.0,0.0
2,2018,2557,0.0,8.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2559,26.0,0.0,0.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
