Area Code,Year,Populations,Sous-Nutrition,Investissement Alimentaire,Life expectancy at birth (Both),Life expectancy at age 60 (Both),Healthy life expectancy at birth (Both),Healthy life expectancy at age 60 (Both)
2,2018,37172000.0,11.1 M,225 M,63.2,15.2,53.9,10.8
3,2018,2883000.0,0.1 M,409 M,78.0,21.0,69.1,16.6
4,2018,42228000.0,1.2 M,2673 M,77.1,22.0,66.4,16.0
7,2018,30810000.0,5.7 M,853 M,63.1,17.0,54.8,12.6
8,2018,96000.0,,2 M,76.5,20.6,67.0,15.8
9,2018,44361000.0,1.7 M,4337 M,76.6,21.1,67.1,16.3
1,2018,2952000.0,<0.1 M,95 M,76.0,20.4,67.1,15.7
10,2018,24898000.0,,8155 M,83.0,25.6,70.9,19.0
11,2018,8891000.0,,2661 M,81.6,24.1,70.9,18.3
52,2018,9950000.0,,297 M,71.4,17.1,63.6,13.4
12,2018,386000.0,,18 M,73.2,20.8,64.4,16.2
16,2018,161377000.0,20.9 M,3314 M,74.3,20.9,64.3,15.5
14,2018,287000.0,<0.1 M,4 M,76.0,20.9,67.0,16.3
57,2018,9453000.0,,1596 M,74.8,19.7,66.0,15.1
255,2018,11482000.0,,1558 M,81.4,24.0,70.6,18.2
23,2018,383000.0,<0.1 M,8 M,74.4,21.5,65.3,16.7
53,2018,11485000.0,0.8 M,146 M,63.4,17.4,55.5,13.0
19,2018,11353000.0,1.8 M,765 M,,,,
80,2018,3324000.0,,144 M,76.8,20.2,67.2,15.2
20,2018,2254000.0,0.5 M,35 M,62.2,16.2,53.9,11.8
21,2018,209469000.0,,12396 M,75.9,21.9,65.4,16.4
27,2018,7052000.0,0.2 M,835 M,75.1,19.8,66.3,15.2
233,2018,19751000.0,3.8 M,258 M,62.7,16.8,54.9,12.6
35,2018,544000.0,0.1 M,14 M,,,,
115,2018,16250000.0,2.4 M,480 M,70.1,17.7,61.5,13.2
32,2018,25216000.0,1.6 M,555 M,62.4,17.1,54.5,12.8
33,2018,37075000.0,,6542 M,82.2,25.2,71.3,19.0
37,2018,4666000.0,,24 M,53.1,13.2,46.4,10.0
39,2018,15478000.0,6.1 M,218 M,59.6,16.5,52.0,12.3
40,2018,18729000.0,0.7 M,1036 M,80.7,24.3,70.0,18.4
351,2018,1459378000.0,,,77.4,21.1,68.5,15.9
96,2018,7372000.0,,,,,,
128,2018,632000.0,<0.1 M,,,,,
41,2018,1427648000.0,,137789 M,,,,
214,2018,23726000.0,0.8 M,,,,,
44,2018,49661000.0,2.7 M,1638 M,79.3,24.0,69.0,18.1
46,2018,5244000.0,1.5 M,147 M,64.7,16.4,56.2,12.2
48,2018,4999000.0,0.2 M,500 M,80.8,25.0,70.0,18.7
107,2018,25069000.0,5 M,772 M,62.9,17.1,54.8,12.7
98,2018,4156000.0,,286 M,78.6,21.8,68.6,16.2
49,2018,11338000.0,,304 M,77.8,21.6,67.8,16.3
50,2018,1189000.0,<0.1 M,18 M,83.1,24.9,72.4,19.0
167,2018,10666000.0,,2051 M,79.1,22.1,68.8,16.3
116,2018,25550000.0,12.2 M,,,,,
54,2018,5752000.0,,1723 M,81.3,23.6,71.0,18.2
72,2018,959000.0,,2 M,65.8,17.8,58.0,13.6
55,2018,72000.0,<0.1 M,3 M,,,,
56,2018,10627000.0,0.6 M,725 M,72.8,20.6,64.0,16.0
58,2018,17084000.0,1.5 M,840 M,78.4,23.2,68.5,17.6
59,2018,98424000.0,4.6 M,1508 M,71.8,17.8,63.0,13.4
60,2018,6421000.0,0.6 M,174 M,75.0,22.1,64.9,16.4
63,2018,1323000.0,,386 M,78.9,22.5,69.2,17.3
209,2018,1136000.0,0.2 M,56 M,,,,
238,2018,109224000.0,21.5 M,1842 M,68.7,18.4,59.9,13.9
66,2018,883000.0,<0.1 M,28 M,68.0,16.2,59.6,11.8
67,2018,5523000.0,,1819 M,81.6,24.2,71.0,18.5
68,2018,66931000.0,,13388 M,82.5,25.3,72.1,19.7
70,2018,278000.0,<0.1 M,6 M,,,,
74,2018,2119000.0,0.4 M,68 M,66.5,17.2,57.6,12.8
75,2018,2280000.0,0.3 M,15 M,65.5,16.9,57.0,12.6
73,2018,4003000.0,0.3 M,100 M,73.3,18.8,64.7,14.4
79,2018,83124000.0,,11587 M,81.7,24.4,70.9,18.5
81,2018,29767000.0,1.9 M,1374 M,66.3,17.2,58.0,12.9
84,2018,10522000.0,,1754 M,81.1,23.8,70.9,18.4
86,2018,111000.0,,4 M,72.9,18.7,63.9,14.3
89,2018,17248000.0,2.8 M,1022 M,72.0,20.5,62.3,15.0
90,2018,12414000.0,,310 M,61.0,16.5,53.3,12.3
175,2018,1874000.0,,32 M,60.2,15.5,52.6,11.4
91,2018,779000.0,<0.1 M,43 M,65.7,16.6,57.2,12.5
93,2018,11123000.0,5.4 M,97 M,64.1,16.8,55.8,12.8
95,2018,9588000.0,1.3 M,234 M,71.9,18.3,63.0,13.8
97,2018,9707000.0,,1380 M,76.4,20.2,67.2,15.3
99,2018,337000.0,,196 M,82.3,24.6,72.0,19.0
100,2018,1352642000.0,189.2 M,57592 M,70.8,18.8,60.3,13.2
101,2018,267671000.0,24.1 M,21047 M,71.3,17.9,62.8,13.4
102,2018,81800000.0,3.9 M,3202 M,,,,
103,2018,32965000.0,9.1 M,181 M,72.4,19.2,62.7,14.2
104,2018,4819000.0,,1308 M,81.8,24.2,71.1,18.6
105,2018,8382000.0,,844 M,82.6,24.9,72.4,19.3
106,2018,60627000.0,,9491 M,83.0,25.0,71.9,18.9
109,2018,2935000.0,0.3 M,49 M,76.0,21.3,66.6,16.4
110,2018,127202000.0,,14511 M,84.3,26.3,74.1,20.4
112,2018,9965000.0,0.9 M,270 M,77.9,21.8,67.6,16.2
108,2018,18320000.0,,707 M,74.0,19.5,65.0,14.8
114,2018,51393000.0,11.8 M,2324 M,66.1,17.6,57.7,13.1
83,2018,116000.0,<0.1 M,2 M,59.4,13.7,52.6,10.3
118,2018,4137000.0,,133 M,81.0,24.0,70.1,17.8
113,2018,6304000.0,0.4 M,46 M,74.2,20.0,65.8,15.7
120,2018,7062000.0,,269 M,,,,
119,2018,1928000.0,,591 M,75.4,20.5,66.2,15.6
121,2018,6859000.0,0.4 M,162 M,76.4,20.5,66.0,15.0
122,2018,2108000.0,0.7 M,8 M,50.7,13.4,44.2,9.8
123,2018,4819000.0,1.8 M,73 M,64.1,17.7,54.9,12.9
126,2018,2801000.0,,860 M,76.0,20.9,66.7,15.9
256,2018,604000.0,,166 M,82.4,24.4,71.6,18.5
129,2018,26262000.0,11 M,153 M,65.3,16.8,57.3,12.6
130,2018,18143000.0,3.4 M,80 M,65.6,17.2,57.1,12.8
131,2018,31528000.0,0.9 M,7805 M,74.7,19.5,65.7,14.6
132,2018,516000.0,,22 M,79.6,22.1,70.0,16.8
133,2018,19078000.0,1 M,428 M,62.8,17.5,54.6,12.8
134,2018,439000.0,,27 M,81.9,24.5,71.5,18.9
136,2018,4403000.0,0.5 M,155 M,68.4,19.0,59.8,14.3
137,2018,1267000.0,<0.1 M,51 M,74.1,20.3,63.9,14.5
138,2018,126191000.0,9 M,1349 M,76.0,21.8,65.8,16.1
141,2018,3170000.0,0.7 M,355 M,68.1,16.4,60.3,12.6
273,2018,628000.0,,51 M,75.9,19.4,67.0,14.9
143,2018,36029000.0,1.6 M,2799 M,73.0,18.7,63.7,14.1
144,2018,29496000.0,9.6 M,185 M,58.1,15.8,50.4,11.6
28,2018,53708000.0,7.6 M,1749 M,69.1,18.1,60.9,13.6
147,2018,2448000.0,0.4 M,127 M,64.6,17.2,56.1,12.7
149,2018,28096000.0,1.7 M,448 M,70.9,18.0,61.3,13.3
150,2018,17060000.0,,5999 M,81.8,24.1,71.4,18.4
153,2018,280000.0,<0.1 M,17 M,,,,
156,2018,4743000.0,,2074 M,82.0,24.8,70.2,18.6
157,2018,6466000.0,1.1 M,209 M,75.0,20.0,65.5,15.1
158,2018,22443000.0,,113 M,63.3,17.2,55.5,13.0
159,2018,195875000.0,24.6 M,16417 M,62.6,18.2,54.4,13.5
154,2018,2083000.0,<0.1 M,86 M,74.8,18.3,66.1,14.0
162,2018,5338000.0,,1927 M,82.6,24.7,71.4,18.5
221,2018,4829000.0,0.4 M,36 M,73.9,17.8,64.7,13.2
165,2018,212228000.0,26.1 M,8213 M,65.6,17.3,56.9,12.6
166,2018,4177000.0,0.3 M,216 M,79.3,24.3,68.7,18.1
168,2018,8606000.0,,321 M,65.3,16.5,57.1,12.3
169,2018,6956000.0,0.6 M,256 M,75.8,21.8,65.8,16.5
170,2018,31989000.0,2.2 M,1442 M,79.9,24.4,69.5,18.5
171,2018,106651000.0,15.4 M,4715 M,70.4,17.8,62.0,13.4
173,2018,37922000.0,,4237 M,78.3,22.1,68.7,16.8
174,2018,10256000.0,,1390 M,81.6,24.3,71.0,18.6
117,2018,51172000.0,,4965 M,,,,
146,2018,4052000.0,,80 M,73.3,19.0,64.5,14.6
183,2018,19506000.0,,1188 M,75.6,20.3,66.8,15.7
185,2018,145734000.0,,11222 M,,,,
184,2018,12302000.0,4.4 M,169 M,69.1,18.0,60.2,13.6
188,2018,52000.0,,,,,,
189,2018,182000.0,,,,,,
191,2018,110000.0,<0.1 M,,,,,
244,2018,196000.0,,,70.5,17.9,62.1,13.4
193,2018,211000.0,<0.1 M,2 M,70.4,17.7,61.6,13.1
194,2018,33703000.0,1.6 M,1795 M,74.3,19.9,64.0,14.0
195,2018,15854000.0,1.5 M,321 M,68.6,18.1,59.4,13.1
272,2018,8803000.0,0.4 M,504 M,75.9,19.6,66.9,14.9
197,2018,7650000.0,2 M,127 M,60.8,17.0,52.9,12.6
199,2018,5453000.0,0.3 M,751 M,78.2,21.8,68.5,16.6
198,2018,2078000.0,,492 M,81.3,23.8,70.7,17.8
25,2018,653000.0,<0.1 M,33 M,65.2,15.5,57.8,11.8
202,2018,57793000.0,3.3 M,1678 M,65.3,19.1,56.2,13.9
203,2018,46693000.0,,7628 M,83.2,25.4,72.1,19.2
38,2018,21229000.0,1.6 M,1700 M,76.9,20.8,67.0,15.3
276,2018,41802000.0,5.2 M,1421 M,69.1,18.6,59.9,13.6
207,2018,576000.0,<0.1 M,42 M,71.5,18.5,62.4,14.1
210,2018,9972000.0,,3166 M,82.4,24.5,71.9,18.9
211,2018,8526000.0,,1687 M,83.4,25.4,72.5,19.5
208,2018,9101000.0,,101 M,69.5,16.1,62.0,12.7
216,2018,69428000.0,6.5 M,6280 M,77.7,23.6,68.3,18.0
176,2018,1268000.0,0.4 M,29 M,,,,
217,2018,7889000.0,1.6 M,60 M,64.3,17.0,56.2,12.8
220,2018,1390000.0,<0.1 M,4 M,76.1,22.7,66.2,17.2
222,2018,11565000.0,,535 M,77.0,21.5,66.9,16.0
223,2018,82340000.0,,7211 M,78.6,22.0,68.4,16.6
213,2018,5851000.0,0.2 M,541 M,69.7,18.7,62.1,14.7
226,2018,42729000.0,,536 M,66.7,17.7,58.2,13.4
230,2018,44246000.0,1.6 M,1805 M,73.0,19.5,64.3,15.0
225,2018,9631000.0,0.3 M,362 M,76.1,19.9,66.0,14.5
229,2018,67142000.0,,6471 M,,,,
215,2018,56313000.0,14.1 M,1216 M,,,,
231,2018,327096000.0,,67258 M,78.5,23.1,66.1,16.4
234,2018,3449000.0,,570 M,77.1,21.7,67.5,16.6
235,2018,32476000.0,0.8 M,1338 M,73.0,18.6,64.7,14.5
155,2018,293000.0,<0.1 M,25 M,65.3,15.7,57.8,11.9
236,2018,28887000.0,9.1 M,,,,,
237,2018,95546000.0,6.1 M,4672 M,73.7,19.6,65.3,14.8
249,2018,28499000.0,,448 M,66.6,17.8,57.5,13.3
251,2018,17352000.0,,85 M,62.5,16.5,54.4,12.6
181,2018,14439000.0,,413 M,60.7,15.6,53.1,11.5
6,2018,,,1 M,,,,
258,2018,,,0 M,,,,
13,2018,,,9 M,75.8,19.0,65.9,13.8
17,2018,,,1 M,,,,
18,2018,,,44 M,73.1,19.4,63.4,14.5
239,2018,,,0 M,,,,
26,2018,,,27 M,,,,
29,2018,,,44 M,63.8,16.5,55.6,12.7
36,2018,,,1 M,,,,
45,2018,,,27 M,67.4,18.1,58.9,13.7
279,2018,,,2 M,,,,
250,2018,,,444 M,62.4,16.6,54.1,12.5
61,2018,,,22 M,62.2,17.6,53.9,12.9
178,2018,,,77 M,64.1,15.5,55.7,11.4
124,2018,,,57 M,75.8,21.3,65.2,15.5
127,2018,,,2 M,,,,
145,2018,,,8 M,63.0,14.7,56.0,11.1
148,2018,,,0 M,,,,
299,2018,,,159 M,,,,
177,2018,,,90 M,,,,
196,2018,,,2 M,73.3,19.5,64.0,14.1
201,2018,,,43 M,56.5,14.5,49.7,11.2
212,2018,,,331 M,72.7,18.7,62.9,13.9
219,2018,,,11 M,72.6,19.0,64.0,14.5
224,2018,,,0 M,,,,
227,2018,,,0 M,,,,
47,2018,,,,,,,
85,2018,,,,,,,
160,2018,,,,,,,
180,2018,,,,,,,
179,2018,,,,77.2,19.5,67.1,14.2
200,2018,,,,83.2,25.5,73.6,20.0
277,2018,,,,62.8,17.8,53.7,12.7
218,2018,,,,,,,
352,2018,,,,,,,
353,2018,,,,,,,
354,2018,,,,,,,
355,2018,,,,,,,
356,2018,,,,,,,
357,2018,,,,,,,
358,2018,,,,,,,
359,2018,,,,,,,
380,2018,,,,,,,
381,2018,,,,,,,
382,2018,,,,72.1,18.6,63.3,14.2
383,2018,,,,74.3,19.2,65.6,14.5
384,2018,,,,74.0,19.7,64.8,14.9
385,2018,,,,,,,
386,2018,,,,72.6,19.1,65.0,14.9
387,2018,,,,57.7,15.1,50.1,11.0
388,2018,,,,,,,
390,2018,,,,,,,
391,2018,,,,,,,
392,2018,,,,,,,
393,2018,,,,77.3,21.8,66.3,15.7
394,2018,,,,,,,
395,2018,,,,68.5,17.6,60.5,13.3
397,2018,,,,,,,
398,2018,,,,,,,
399,2018,,,,,,,
400,2018,,,,,,,
402,2018,,,,83.3,25.8,73.1,19.8
403,2018,,,,,,,
404,2018,,,,73.2,19.9,64.2,15.0
405,2018,,,,,,,
406,2018,,,,,,,
407,2018,,,,74.3,20.9,64.7,15.8
408,2018,,,,,,,
409,2018,,,,73.2,20.9,64.0,15.9
410,2018,,,,,,,
411,2018,,,,69.6,17.9,60.9,13.2
412,2018,,,,81.4,24.1,70.1,18.3
413,2018,,,,67.3,18.2,58.5,13.4
414,2018,,,,,,,
415,2018,,,,73.9,21.7,64.4,16.3
416,2018,,,,,,,
417,2018,,,,,,,
440,2018,,,,,,,
469,2018,,,,,,,
480,2018,,,,,,,
484,2018,,,,,,,
