Area Code,Area
2,Afghanistan
3,Albania
4,Algeria
7,Angola
8,Antigua and Barbuda
9,Argentina
1,Armenia
10,Australia
11,Austria
52,Azerbaijan
12,Bahamas
16,Bangladesh
14,Barbados
57,Belarus
255,Belgium
23,Belize
53,Benin
19,Bolivia
80,Bosnia and Herzegovina
20,Botswana
21,Brazil
27,Bulgaria
233,Burkina Faso
35,Cape Verde
115,Cambodia
32,Cameroon
33,Canada
37,Central African Republic
39,Chad
40,Chile
351,China
96,"China, Hong Kong SAR"
128,"China, Macao SAR"
41,"China, mainland"
214,"China, Taiwan Province of"
44,Colombia
46,Congo
48,Costa Rica
107,Côte d'Ivoire
98,Croatia
49,Cuba
50,Cyprus
167,Czechia
116,North Korea
54,Denmark
72,Djibouti
55,Dominica
56,Dominican Republic
58,Ecuador
59,Egypt
60,El Salvador
63,Estonia
209,Swaziland
238,Ethiopia
66,Fiji
67,Finland
68,France
70,French Polynesia
74,Gabon
75,Gambia
73,Georgia
79,Germany
81,Ghana
84,Greece
86,Grenada
89,Guatemala
90,Guinea
175,Guinea-Bissau
91,Guyana
93,Haiti
95,Honduras
97,Hungary
99,Iceland
100,India
101,Indonesia
102,Iran
103,Iraq
104,Ireland
105,Israel
106,Italy
109,Jamaica
110,Japan
112,Jordan
108,Kazakhstan
114,Kenya
83,Kiribati
118,Kuwait
113,Kyrgyzstan
120,Laos
119,Latvia
121,Lebanon
122,Lesotho
123,Liberia
126,Lithuania
256,Luxembourg
129,Madagascar
130,Malawi
131,Malaysia
132,Maldives
133,Mali
134,Malta
136,Mauritania
137,Mauritius
138,Mexico
141,Mongolia
273,Montenegro
143,Morocco
144,Mozambique
28,Myanmar
147,Namibia
149,Nepal
150,Netherlands
153,New Caledonia
156,New Zealand
157,Nicaragua
158,Niger
159,Nigeria
154,North Macedonia
162,Norway
221,Oman
165,Pakistan
166,Panama
168,Papua New Guinea
169,Paraguay
170,Peru
171,Philippines
173,Poland
174,Portugal
117,South Korea
146,Republic of Moldova
183,Romania
185,Russia
184,Rwanda
188,St. Kitts and Nevis
189,St. Lucia
191,St. Vincent and the Grenadines
244,Samoa
193,Sao Tome and Principe
194,Saudi Arabia
195,Senegal
272,Serbia
197,Sierra Leone
199,Slovakia
198,Slovenia
25,Solomon Islands
202,South Africa
203,Spain
38,Sri Lanka
276,Sudan
207,Suriname
210,Sweden
211,Switzerland
208,Tajikistan
216,Thailand
176,Timor Leste
217,Togo
220,Trinidad and Tobago
222,Tunisia
223,Turkey
213,Turkmenistan
226,Uganda
230,Ukraine
225,United Arab Emirates
229,United Kingdom
215,Tanzania
231,United States of America
234,Uruguay
235,Uzbekistan
155,Vanuatu
236,Venezuela
237,Viet Nam
249,Yemen
251,Zambia
181,Zimbabwe
6,Andorra
258,Anguilla
13,Bahrain
17,Bermuda
18,Bhutan
239,British Virgin Islands
26,Brunei
29,Burundi
36,Cayman Islands
45,Comoros
279,Curaçao
250,Democratic Republic of the Congo
61,Equatorial Guinea
178,Eritrea
124,Libya
127,Marshall Islands
145,Micronesia (Federated States of)
148,Nauru
299,Palestine
177,Puerto Rico
196,Seychelles
201,Somalia
212,Syrian Arab Republic
219,Tonga
224,Turks and Caicos Islands
227,Tuvalu
47,Cook Islands
85,Greenland
160,Niue
180,Palau
179,Qatar
200,Singapore
277,South Sudan
218,Tokelau
352,Faroe Islands
353,Federated States of Micronesia
354,Liechtenstein
355,Monaco
356,Northern Mariana Islands
357,Porto Rico
358,Syria
359,Vietnam
360,American Samoa
361,Aruba
362,Bolivia (Plurinational State of)
363,Brunei Darussalam
364,Cabo Verde
365,Channel Islands
366,Democratic People's Republic of Korea
367,Eswatini
368,Falkland Islands (Malvinas)
370,French Guyana
371,Guadeloupe
372,Guam
373,Iran (Islamic Republic of)
374,Isle of Man
375,Lao People's Democratic Republic
377,Martinique
378,Mayotte
379,Montserrat
380,Norfolk Island
382,Republic of Korea
383,Réunion
384,Russian Federation
385,"Saint Helena, Ascension and Tristan da Cunha"
386,Saint Kitts and Nevis
387,Saint Lucia
388,Saint Pierre and Miquelon
389,Saint Vincent and the Grenadines
390,San Marino
391,Timor-Leste
392,United Kingdom of Great Britain and Northern Ireland
393,United Republic of Tanzania
394,United States Virgin Islands
395,Venezuela (Bolivarian Republic of)
396,Wallis and Futuna Islands
397,Western Sahara
401,North North Macedonia
409,Czechoslovakia
420,USSR
424,Yugoslav SFR
