Area Code,Year,Arable land,Land under permanent crops,Cropland,Land under perm. meadows and pastures,Agriculture area actually irrigated,Land area equipped for irrigation,Agriculture area under organic agric.
2,2018,20 %,0 %,20 %,79 %,5 %,8 %,0 %
3,2018,52 %,7 %,59 %,40 %,14 %,30 %,0 %
4,2018,18 %,2 %,20 %,79 %,,3 %,0 %
7,2018,8 %,0 %,9 %,90 %,,0 %,
8,2018,44 %,11 %,55 %,44 %,,4 %,
9,2018,26 %,0 %,27 %,72 %,0 %,1 %,2 %
1,2018,26 %,3 %,30 %,69 %,9 %,12 %,0 %
10,2018,8 %,0 %,8 %,91 %,0 %,0 %,9 %
11,2018,50 %,2 %,52 %,47 %,,3 %,24 %
52,2018,43 %,5 %,49 %,50 %,29 %,30 %,0 %
12,2018,57 %,28 %,85 %,14 %,,7 %,0 %
16,2018,84 %,9 %,93 %,6 %,,60 %,0 %
14,2018,70 %,10 %,80 %,20 %,,54 %,
57,2018,67 %,1 %,68 %,31 %,0 %,0 %,0 %
255,2018,62 %,1 %,64 %,35 %,,1 %,6 %
23,2018,52 %,18 %,70 %,29 %,,2 %,0 %
53,2018,70 %,15 %,86 %,13 %,,0 %,0 %
19,2018,,,,,,,
80,2018,46 %,4 %,51 %,48 %,,0 %,0 %
20,2018,1 %,0 %,1 %,98 %,,0 %,
21,2018,23 %,3 %,26 %,73 %,,2 %,0 %
27,2018,69 %,3 %,72 %,27 %,,2 %,2 %
233,2018,49 %,0 %,50 %,49 %,,0 %,0 %
35,2018,,,,,,,
115,2018,70 %,2 %,73 %,26 %,,6 %,0 %
32,2018,63 %,15 %,79 %,20 %,,0 %,0 %
33,2018,66 %,0 %,66 %,33 %,,2 %,2 %
37,2018,35 %,1 %,37 %,62 %,,0 %,
39,2018,10 %,0 %,10 %,89 %,,0 %,
40,2018,7 %,2 %,10 %,89 %,,7 %,0 %
351,2018,22 %,3 %,25 %,74 %,,14 %,0 %
96,2018,60 %,20 %,80 %,20 %,,20 %,
128,2018,,,,,,,
41,2018,22 %,3 %,25 %,74 %,,13 %,0 %
214,2018,74 %,25 %,100 %,,,50 %,
44,2018,12 %,7 %,19 %,80 %,,2 %,0 %
46,2018,5 %,0 %,5 %,94 %,,0 %,
48,2018,14 %,18 %,32 %,67 %,,8 %,0 %
107,2018,16 %,21 %,37 %,62 %,,0 %,0 %
98,2018,54 %,4 %,59 %,40 %,,1 %,6 %
49,2018,46 %,10 %,56 %,43 %,,8 %,0 %
50,2018,79 %,19 %,98 %,1 %,,35 %,4 %
167,2018,70 %,1 %,71 %,28 %,0 %,1 %,14 %
116,2018,,,,,,,
54,2018,90 %,1 %,91 %,8 %,,11 %,10 %
