"","Concentrations of fine particulate matter (PM2.5)"
""," 2016"
"Country"," Urban"
"Afghanistan","59.9 [45.6-80.0]"
"Albania","18.2 [16.5-21.0]"
"Algeria","34.5 [17.2-73.2]"
"Andorra","11.5 [10.5-13.2]"
"Angola","28.4 [15.5-60.1]"
"Antigua and Barbuda","18.0 [10.5-34.2]"
"Argentina","11.7 [9.9-17.4]"
"Armenia","32.9 [21.0-49.0]"
"Australia","7.3 [7.6-10.0]"
"Austria","13.1 [12.7-13.5]"
"Azerbaijan","18.5 [10.7-38.6]"
"Bahamas","19.0 [8.9-37.5]"
"Bahrain","69.0 [51.5-90.6]"
"Bangladesh","58.6 [51.3-69.0]"
"Barbados","22.4 [13.5-41.3]"
"Belarus","19.3 [17.4-23.3]"
"Belgium","13.0 [12.6-13.7]"
"Belize","20.9 [8.8-46.9]"
"Benin","30.4 [18.2-55.2]"
"Bhutan","35.4 [37.7-48.1]"
"Bolivia (Plurinational State of)","23.3 [17.9-33.8]"
"Bosnia and Herzegovina","29.7 [25.7-33.3]"
"Botswana","20.9 [14.0-34.2]"
"Brazil","11.8 [11.3-15.1]"
"Brunei Darussalam","5.8 [4.6-7.2]"
"Bulgaria","20.8 [20.2-22.3]"
"Burkina Faso","36.3 [18.0-103.7]"
"Burundi","35.6 [15.1-91.7]"
"Cabo Verde","31.6 [15.7-60.8]"
"Cambodia","24.9 [14.6-40.3]"
"Cameroon","65.4 [43.7-106.4]"
"Canada","6.7 [6.5-6.9]"
"Central African Republic","51.2 [21.3-130.4]"
"Chad","50.8 [20.3-135.2]"
"Chile","23.1 [21.4-24.0]"
"China","51.0 [51.0-55.3]"
"Colombia","17.2 [12.9-25.5]"
"Comoros","18.6 [9.3-38.8]"
"Congo","36.4 [14.4-114.4]"
"Cook Islands","12.0"
"Costa Rica","16.7 [14.7-19.0]"
"Côte d'Ivoire","23.9 [14.2-48.4]"
"Croatia","17.6 [16.2-19.3]"
"Cuba","21.6 [14.9-30.9]"
"Cyprus","17.1 [15.9-19.4]"
"Czechia","15.6 [16.2-17.0]"
"Democratic People's Republic of Korea","31.0 [23.7-45.2]"
