Code Domaine,Domaine,Code Pays bénéficiaire,Pays bénéficiaire,Code Pays donateur,Pays donateur,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FA","Aide Alimentaire (WFP) Expédition","4","Algérie","500","Total donateurs","12061","Céréales","2016","2016","tonnes","3766","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","4","Algérie","500","Total donateurs","11988","Céréales Secondaires","2016","2016","tonnes","1178","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","4","Algérie","500","Total donateurs","11733","Fruits secs, total","2016","2016","tonnes","252","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","4","Algérie","500","Total donateurs","11726","Légumineuses Sèches,Tot.","2016","2016","tonnes","360","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","4","Algérie","500","Total donateurs","10109","Mélanges et préparations","2016","2016","tonnes","855","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","4","Algérie","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","972","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","4","Algérie","500","Total donateurs","10031","Riz, total","2016","2016","tonnes","1733","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","4","Algérie","500","Total donateurs","11890","Sucre, total","2016","2016","tonnes","360","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","53","Bénin","500","Total donateurs","11733","Fruits secs, total","2016","2016","tonnes","72","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","53","Bénin","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","72","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","18","Bhoutan","500","Total donateurs","11788","Huiles végétales","2016","2016","tonnes","109","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","18","Bhoutan","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","109","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","233","Burkina Faso","500","Total donateurs","11733","Fruits secs, total","2016","2016","tonnes","36","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","233","Burkina Faso","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","36","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","32","Cameroun","500","Total donateurs","11788","Huiles végétales","2016","2016","tonnes","289","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","32","Cameroun","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","289","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","44","Colombie","500","Total donateurs","12061","Céréales","2016","2016","tonnes","1963","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","44","Colombie","500","Total donateurs","11726","Légumineuses Sèches,Tot.","2016","2016","tonnes","770","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","44","Colombie","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","770","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","44","Colombie","500","Total donateurs","10031","Riz, total","2016","2016","tonnes","1963","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","107","Côte d'Ivoire","500","Total donateurs","12061","Céréales","2016","2016","tonnes","4323","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","107","Côte d'Ivoire","500","Total donateurs","11788","Huiles végétales","2016","2016","tonnes","70","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","107","Côte d'Ivoire","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","70","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","107","Côte d'Ivoire","500","Total donateurs","10031","Riz, total","2016","2016","tonnes","4323","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","60","El Salvador","500","Total donateurs","12061","Céréales","2016","2016","tonnes","596","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","60","El Salvador","500","Total donateurs","10031","Riz, total","2016","2016","tonnes","596","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","75","Gambie","500","Total donateurs","11726","Légumineuses Sèches,Tot.","2016","2016","tonnes","168","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","75","Gambie","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","168","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","89","Guatemala","500","Total donateurs","12061","Céréales","2016","2016","tonnes","355","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","89","Guatemala","500","Total donateurs","11726","Légumineuses Sèches,Tot.","2016","2016","tonnes","348","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","89","Guatemala","500","Total donateurs","10109","Mélanges et préparations","2016","2016","tonnes","355","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","89","Guatemala","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","348","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","93","Haïti","500","Total donateurs","10021","BulgurFarEnt","2016","2016","tonnes","3544","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","93","Haïti","500","Total donateurs","12061","Céréales","2016","2016","tonnes","4005","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","93","Haïti","500","Total donateurs","11788","Huiles végétales","2016","2016","tonnes","516","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","93","Haïti","500","Total donateurs","11726","Légumineuses Sèches,Tot.","2016","2016","tonnes","1605","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","93","Haïti","500","Total donateurs","10109","Mélanges et préparations","2016","2016","tonnes","461","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","93","Haïti","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","2226","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","95","Honduras","500","Total donateurs","12061","Céréales","2016","2016","tonnes","753","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","95","Honduras","500","Total donateurs","11733","Fruits secs, total","2016","2016","tonnes","331","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","95","Honduras","500","Total donateurs","11788","Huiles végétales","2016","2016","tonnes","558","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","95","Honduras","500","Total donateurs","11726","Légumineuses Sèches,Tot.","2016","2016","tonnes","604","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","95","Honduras","500","Total donateurs","10109","Mélanges et préparations","2016","2016","tonnes","443","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","95","Honduras","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","1493","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","95","Honduras","500","Total donateurs","10031","Riz, total","2016","2016","tonnes","310","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","102","Iran (République islamique d')","500","Total donateurs","11726","Légumineuses Sèches,Tot.","2016","2016","tonnes","241","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","102","Iran (République islamique d')","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","291","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","102","Iran (République islamique d')","500","Total donateurs","11890","Sucre, total","2016","2016","tonnes","50","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","121","Liban","500","Total donateurs","11733","Fruits secs, total","2016","2016","tonnes","800","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","121","Liban","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","800","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","124","Libye","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","2207","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","130","Malawi","500","Total donateurs","11726","Légumineuses Sèches,Tot.","2016","2016","tonnes","860","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","130","Malawi","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","860","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","136","Mauritanie","500","Total donateurs","12061","Céréales","2016","2016","tonnes","1493","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","136","Mauritanie","500","Total donateurs","11733","Fruits secs, total","2016","2016","tonnes","72","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","136","Mauritanie","500","Total donateurs","12062","Non-céréales","2016","2016","tonnes","72","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
"FA","Aide Alimentaire (WFP) Expédition","136","Mauritanie","500","Total donateurs","10031","Riz, total","2016","2016","tonnes","1493","X","Sources internationales sûres","Donnée provisoire fournie par le PMA"
