Code Domaine,Domaine,Code zone,Zone,Code année,Année,Code Produit,Produit,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole,Note
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","","114.527725","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","","113.437296","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","","112.827883","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","","111.659316","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","","111.214302","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","","110.406413","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","","109.761771","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","","109.569272","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","","110.133214","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","","111.711655","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","","112.497627","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","","113.490296","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","","122.2008","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","","122.3166","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","","122.3166","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","","122.7799","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","","122.6641","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","","122.7799","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","","123.1274","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","","123.0116","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","","123.3591","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","","123.5907","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","","124.0541","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","","124.0541","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","","110.850419","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","","113.086463","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","","114.082424","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","","112.535492","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","","109.202612","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","","108.858621","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","","108.266534","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","","109.166679","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","","109.496398","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","","108.417856","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","","107.808107","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","","110.611106","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","","110.005846","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","","107.896822","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","","109.416792","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","","110.652754","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","","114.776132","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","","117.079754","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","","111.820343","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","","112.504066","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","","112.751259","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","","115.433559","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","","113.834697","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","","110.86839","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","","105.9","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","","105.8","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","","106.1","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","","106.1","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","","106.2","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","","106.1","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","","105.6","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","","105.3","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","","106.3","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","","106.1","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","","105.9","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","79","Allemagne","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","","106.1","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","6","Andorre","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","","105.255549","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","6","Andorre","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","","104.978318","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","6","Andorre","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","","105.34796","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","6","Andorre","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","","105.44037","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","6","Andorre","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","","105.625191","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","6","Andorre","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","","106.087243","X","Sources internationales sûres","base year is 2015"
