Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","5511","Production","2511","Wheat and products","2018","2018","1000 tonnes","3613","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5511","Production","2805","Rice and products","2018","2018","1000 tonnes","352","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5511","Production","2513","Barley and products","2018","2018","1000 tonnes","57","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5511","Production","2514","Maize and products","2018","2018","1000 tonnes","107","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5511","Production","2515","Rye and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5511","Production","2516","Oats","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5511","Production","2517","Millet and products","2018","2018","1000 tonnes","12","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5511","Production","2520","Cereals, Other","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","3","Albania","5511","Production","2511","Wheat and products","2018","2018","1000 tonnes","240","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","3","Albania","5511","Production","2805","Rice and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","3","Albania","5511","Production","2513","Barley and products","2018","2018","1000 tonnes","10","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","3","Albania","5511","Production","2514","Maize and products","2018","2018","1000 tonnes","391","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","3","Albania","5511","Production","2515","Rye and products","2018","2018","1000 tonnes","2","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","3","Albania","5511","Production","2516","Oats","2018","2018","1000 tonnes","35","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","3","Albania","5511","Production","2518","Sorghum and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","4","Algeria","5511","Production","2511","Wheat and products","2018","2018","1000 tonnes","3981","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","4","Algeria","5511","Production","2805","Rice and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","4","Algeria","5511","Production","2513","Barley and products","2018","2018","1000 tonnes","1957","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","4","Algeria","5511","Production","2514","Maize and products","2018","2018","1000 tonnes","4","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","4","Algeria","5511","Production","2516","Oats","2018","2018","1000 tonnes","118","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","4","Algeria","5511","Production","2518","Sorghum and products","2018","2018","1000 tonnes","4","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","4","Algeria","5511","Production","2520","Cereals, Other","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","7","Angola","5511","Production","2511","Wheat and products","2018","2018","1000 tonnes","3","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","7","Angola","5511","Production","2805","Rice and products","2018","2018","1000 tonnes","10","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","7","Angola","5511","Production","2513","Barley and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","7","Angola","5511","Production","2514","Maize and products","2018","2018","1000 tonnes","2765","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","7","Angola","5511","Production","2515","Rye and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","7","Angola","5511","Production","2516","Oats","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","7","Angola","5511","Production","2517","Millet and products","2018","2018","1000 tonnes","52","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","7","Angola","5511","Production","2518","Sorghum and products","2018","2018","1000 tonnes","40","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","7","Angola","5511","Production","2520","Cereals, Other","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","8","Antigua and Barbuda","5511","Production","2511","Wheat and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","8","Antigua and Barbuda","5511","Production","2805","Rice and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","8","Antigua and Barbuda","5511","Production","2514","Maize and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","9","Argentina","5511","Production","2511","Wheat and products","2018","2018","1000 tonnes","18539","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","9","Argentina","5511","Production","2805","Rice and products","2018","2018","1000 tonnes","1368","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","9","Argentina","5511","Production","2513","Barley and products","2018","2018","1000 tonnes","5061","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","9","Argentina","5511","Production","2514","Maize and products","2018","2018","1000 tonnes","43462","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","9","Argentina","5511","Production","2515","Rye and products","2018","2018","1000 tonnes","86","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","9","Argentina","5511","Production","2516","Oats","2018","2018","1000 tonnes","492","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","9","Argentina","5511","Production","2517","Millet and products","2018","2018","1000 tonnes","2","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","9","Argentina","5511","Production","2518","Sorghum and products","2018","2018","1000 tonnes","1563","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","9","Argentina","5511","Production","2520","Cereals, Other","2018","2018","1000 tonnes","127","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","1","Armenia","5511","Production","2511","Wheat and products","2018","2018","1000 tonnes","187","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","1","Armenia","5511","Production","2805","Rice and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","1","Armenia","5511","Production","2513","Barley and products","2018","2018","1000 tonnes","124","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","1","Armenia","5511","Production","2514","Maize and products","2018","2018","1000 tonnes","8","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","1","Armenia","5511","Production","2515","Rye and products","2018","2018","1000 tonnes","1","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","1","Armenia","5511","Production","2516","Oats","2018","2018","1000 tonnes","5","Im","FAO data based on imputation methodology"
