Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","5511","Production","2511","Wheat and products","2018","2018","1000 tonnes","3613","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5611","Import Quantity","2511","Wheat and products","2018","2018","1000 tonnes","3376","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5072","Stock Variation","2511","Wheat and products","2018","2018","1000 tonnes","-6","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5911","Export Quantity","2511","Wheat and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5301","Domestic supply quantity","2511","Wheat and products","2018","2018","1000 tonnes","6995","S","Standardized data"
"FBS","New Food Balances","2","Afghanistan","5521","Feed","2511","Wheat and products","2018","2018","1000 tonnes","181","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5527","Seed","2511","Wheat and products","2018","2018","1000 tonnes","221","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2511","Wheat and products","2018","2018","1000 tonnes","542","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5131","Processing","2511","Wheat and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5170","Residuals","2511","Wheat and products","2018","2018","1000 tonnes","153","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5142","Food","2511","Wheat and products","2018","2018","1000 tonnes","5898","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2018","2018","kg","158.66","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","664","Food supply (kcal/capita/day)","2511","Wheat and products","2018","2018","kcal/capita/day","1360","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2511","Wheat and products","2018","2018","g/capita/day","36.64","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","684","Fat supply quantity (g/capita/day)","2511","Wheat and products","2018","2018","g/capita/day","4.55","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","5511","Production","2805","Rice and products","2018","2018","1000 tonnes","352","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5611","Import Quantity","2805","Rice and products","2018","2018","1000 tonnes","425","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5072","Stock Variation","2805","Rice and products","2018","2018","1000 tonnes","152","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5911","Export Quantity","2805","Rice and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5301","Domestic supply quantity","2805","Rice and products","2018","2018","1000 tonnes","626","S","Standardized data"
"FBS","New Food Balances","2","Afghanistan","5521","Feed","2805","Rice and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5527","Seed","2805","Rice and products","2018","2018","1000 tonnes","12","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2805","Rice and products","2018","2018","1000 tonnes","25","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5131","Processing","2805","Rice and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5170","Residuals","2805","Rice and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5142","Food","2805","Rice and products","2018","2018","1000 tonnes","589","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2805","Rice and products","2018","2018","kg","15.84","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","664","Food supply (kcal/capita/day)","2805","Rice and products","2018","2018","kcal/capita/day","108","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2805","Rice and products","2018","2018","g/capita/day","2.06","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","684","Fat supply quantity (g/capita/day)","2805","Rice and products","2018","2018","g/capita/day","0.2","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","5511","Production","2513","Barley and products","2018","2018","1000 tonnes","57","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5611","Import Quantity","2513","Barley and products","2018","2018","1000 tonnes","18","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5072","Stock Variation","2513","Barley and products","2018","2018","1000 tonnes","-4","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5911","Export Quantity","2513","Barley and products","2018","2018","1000 tonnes","2","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5301","Domestic supply quantity","2513","Barley and products","2018","2018","1000 tonnes","77","S","Standardized data"
"FBS","New Food Balances","2","Afghanistan","5521","Feed","2513","Barley and products","2018","2018","1000 tonnes","15","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5527","Seed","2513","Barley and products","2018","2018","1000 tonnes","4","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2513","Barley and products","2018","2018","1000 tonnes","8","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5131","Processing","2513","Barley and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5170","Residuals","2513","Barley and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5142","Food","2513","Barley and products","2018","2018","1000 tonnes","51","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2513","Barley and products","2018","2018","kg","1.37","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","664","Food supply (kcal/capita/day)","2513","Barley and products","2018","2018","kcal/capita/day","12","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2513","Barley and products","2018","2018","g/capita/day","0.37","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","684","Fat supply quantity (g/capita/day)","2513","Barley and products","2018","2018","g/capita/day","0.11","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","5511","Production","2514","Maize and products","2018","2018","1000 tonnes","107","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5611","Import Quantity","2514","Maize and products","2018","2018","1000 tonnes","57","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5072","Stock Variation","2514","Maize and products","2018","2018","1000 tonnes","-1","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5911","Export Quantity","2514","Maize and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5301","Domestic supply quantity","2514","Maize and products","2018","2018","1000 tonnes","165","S","Standardized data"
"FBS","New Food Balances","2","Afghanistan","5521","Feed","2514","Maize and products","2018","2018","1000 tonnes","68","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5527","Seed","2514","Maize and products","2018","2018","1000 tonnes","9","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2514","Maize and products","2018","2018","1000 tonnes","16","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5131","Processing","2514","Maize and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5170","Residuals","2514","Maize and products","2018","2018","1000 tonnes","8","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5142","Food","2514","Maize and products","2018","2018","1000 tonnes","64","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2514","Maize and products","2018","2018","kg","1.72","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","664","Food supply (kcal/capita/day)","2514","Maize and products","2018","2018","kcal/capita/day","15","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2514","Maize and products","2018","2018","g/capita/day","0.38","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","684","Fat supply quantity (g/capita/day)","2514","Maize and products","2018","2018","g/capita/day","0.2","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","5511","Production","2515","Rye and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5611","Import Quantity","2515","Rye and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5911","Export Quantity","2515","Rye and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5301","Domestic supply quantity","2515","Rye and products","2018","2018","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","2","Afghanistan","5521","Feed","2515","Rye and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5131","Processing","2515","Rye and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5170","Residuals","2515","Rye and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5142","Food","2515","Rye and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2515","Rye and products","2018","2018","kg","0","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","5511","Production","2516","Oats","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5611","Import Quantity","2516","Oats","2018","2018","1000 tonnes","3","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5911","Export Quantity","2516","Oats","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5301","Domestic supply quantity","2516","Oats","2018","2018","1000 tonnes","3","S","Standardized data"
"FBS","New Food Balances","2","Afghanistan","5521","Feed","2516","Oats","2018","2018","1000 tonnes","3","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5131","Processing","2516","Oats","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5170","Residuals","2516","Oats","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5142","Food","2516","Oats","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2516","Oats","2018","2018","kg","0","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","664","Food supply (kcal/capita/day)","2516","Oats","2018","2018","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2516","Oats","2018","2018","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","684","Fat supply quantity (g/capita/day)","2516","Oats","2018","2018","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","5511","Production","2517","Millet and products","2018","2018","1000 tonnes","12","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5611","Import Quantity","2517","Millet and products","2018","2018","1000 tonnes","1","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5072","Stock Variation","2517","Millet and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5911","Export Quantity","2517","Millet and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5301","Domestic supply quantity","2517","Millet and products","2018","2018","1000 tonnes","13","S","Standardized data"
"FBS","New Food Balances","2","Afghanistan","5521","Feed","2517","Millet and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5527","Seed","2517","Millet and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5123","Losses","2517","Millet and products","2018","2018","1000 tonnes","1","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5131","Processing","2517","Millet and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5170","Residuals","2517","Millet and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","5142","Food","2517","Millet and products","2018","2018","1000 tonnes","12","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2517","Millet and products","2018","2018","kg","0.32","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","664","Food supply (kcal/capita/day)","2517","Millet and products","2018","2018","kcal/capita/day","3","Fc","Calculated data"
