Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EL","Land use indicators","2","Afghanistan","7208","Share in Agricultural land","6621","Arable land","2018","2018","%","20.31","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7208","Share in Agricultural land","6650","Land under permanent crops","2018","2018","%","0.57","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7208","Share in Agricultural land","6620","Cropland","2018","2018","%","20.88","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7208","Share in Agricultural land","6655","Land under perm. meadows and pastures","2018","2018","%","79.12","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7208","Share in Agricultural land","6611","Agriculture area actually irrigated","2018","2018","%","5.13","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7208","Share in Agricultural land","6690","Land area equipped for irrigation","2018","2018","%","8.46","Fc","Calculated data"
"EL","Land use indicators","2","Afghanistan","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2018","2018","%","0","Fc","Calculated data"
"EL","Land use indicators","3","Albania","7208","Share in Agricultural land","6621","Arable land","2018","2018","%","52.07","Fc","Calculated data"
"EL","Land use indicators","3","Albania","7208","Share in Agricultural land","6650","Land under permanent crops","2018","2018","%","7.21","Fc","Calculated data"
"EL","Land use indicators","3","Albania","7208","Share in Agricultural land","6620","Cropland","2018","2018","%","59.28","Fc","Calculated data"
"EL","Land use indicators","3","Albania","7208","Share in Agricultural land","6655","Land under perm. meadows and pastures","2018","2018","%","40.72","Fc","Calculated data"
"EL","Land use indicators","3","Albania","7208","Share in Agricultural land","6611","Agriculture area actually irrigated","2018","2018","%","14.99","Fc","Calculated data"
"EL","Land use indicators","3","Albania","7208","Share in Agricultural land","6690","Land area equipped for irrigation","2018","2018","%","30.28","Fc","Calculated data"
"EL","Land use indicators","3","Albania","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2018","2018","%","0.06","Fc","Calculated data"
"EL","Land use indicators","4","Algeria","7208","Share in Agricultural land","6621","Arable land","2018","2018","%","18.15","Fc","Calculated data"
