Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2018","2018","7021","Annual value","USD","435.2","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","526","Apricots","2018","2018","7021","Annual value","USD","777.8","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","7021","Annual value","USD","302.2","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","176","Beans, dry","2018","2018","7021","Annual value","USD","2078.7","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","414","Beans, green","2018","2018","7021","Annual value","USD","976.7","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","358","Cabbages and other brassicas","2018","2018","7021","Annual value","USD","206.7","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","426","Carrots and turnips","2018","2018","7021","Annual value","USD","391.4","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","393","Cauliflowers and broccoli","2018","2018","7021","Annual value","USD","784","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","531","Cherries","2018","2018","7021","Annual value","USD","641.9","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","220","Chestnut","2018","2018","7021","Annual value","USD","1032.7","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","397","Cucumbers and gherkins","2018","2018","7021","Annual value","USD","470.2","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","577","Dates","2018","2018","7021","Annual value","USD","369.8","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","399","Eggplants (aubergines)","2018","2018","7021","Annual value","USD","750.3","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1062","Eggs, hen, in shell","2018","2018","7021","Annual value","USD","3358.5","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","569","Figs","2018","2018","7021","Annual value","USD","1052","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","406","Garlic","2018","2018","7021","Annual value","USD","1924.8","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","560","Grapes","2018","2018","7021","Annual value","USD","619","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1182","Honey, natural","2018","2018","7021","Annual value","USD","12290.4","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","407","Leeks, other alliaceous vegetables","2018","2018","7021","Annual value","USD","282.3","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","497","Lemons and limes","2018","2018","7021","Annual value","USD","843","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2018","2018","7021","Annual value","USD","659","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","7021","Annual value","USD","300.3","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","568","Melons, other (inc.cantaloupes)","2018","2018","7021","Annual value","USD","383.8","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","882","Milk, whole fresh cow","2018","2018","7021","Annual value","USD","371.8","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1020","Milk, whole fresh goat","2018","2018","7021","Annual value","USD","453.7","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","982","Milk, whole fresh sheep","2018","2018","7021","Annual value","USD","755.5","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","234","Nuts nes","2018","2018","7021","Annual value","USD","4112.6","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","7021","Annual value","USD","342.9","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","260","Olives","2018","2018","7021","Annual value","USD","1025.9","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","403","Onions, dry","2018","2018","7021","Annual value","USD","403","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","402","Onions, shallots, green","2018","2018","7021","Annual value","USD","673.4","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","490","Oranges","2018","2018","7021","Annual value","USD","500.1","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","534","Peaches and nectarines","2018","2018","7021","Annual value","USD","587.1","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","521","Pears","2018","2018","7021","Annual value","USD","736","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","417","Peas, green","2018","2018","7021","Annual value","USD","782.1","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","536","Plums and sloes","2018","2018","7021","Annual value","USD","541.9","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","116","Potatoes","2018","2018","7021","Annual value","USD","309.2","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","394","Pumpkins, squash and gourds","2018","2018","7021","Annual value","USD","557.7","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","523","Quinces","2018","2018","7021","Annual value","USD","743.8","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","71","Rye","2018","2018","7021","Annual value","USD","482.1","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","236","Soybeans","2018","2018","7021","Annual value","USD","550.5","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","373","Spinach","2018","2018","7021","Annual value","USD","786.1","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","267","Sunflower seed","2018","2018","7021","Annual value","USD","1148.7","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","495","Tangerines, mandarins, clementines, satsumas","2018","2018","7021","Annual value","USD","478.5","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","826","Tobacco, unmanufactured","2018","2018","7021","Annual value","USD","3841","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","388","Tomatoes","2018","2018","7021","Annual value","USD","548.8","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","567","Watermelons","2018","2018","7021","Annual value","USD","177.1","","Official data"
