Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"LC","Occupation des sols","2","Afghanistan","5007","Area from MODIS","6970","Surfaces artificielles, y compris les zones urbaines et associées","2018","2018","1000 ha","90.5645","FC","Donnée calculée"
"LC","Occupation des sols","2","Afghanistan","5007","Area from MODIS","6971","Cultures herbacées","2018","2018","1000 ha","1263.9274","FC","Donnée calculée"
"LC","Occupation des sols","2","Afghanistan","5007","Area from MODIS","6972","Cultures ligneuses","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","2","Afghanistan","5007","Area from MODIS","6973","Cultures multiples ou étagées","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","2","Afghanistan","5007","Area from MODIS","6983","Prairie","2018","2018","1000 ha","23401.3373","FC","Donnée calculée"
"LC","Occupation des sols","2","Afghanistan","5007","Area from MODIS","6974","Zones arborées","2018","2018","1000 ha","617.1694","FC","Donnée calculée"
"LC","Occupation des sols","2","Afghanistan","5007","Area from MODIS","6975","Mangroves","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","2","Afghanistan","5007","Area from MODIS","6976","Zones arbustives","2018","2018","1000 ha","6593.9281","FC","Donnée calculée"
"LC","Occupation des sols","2","Afghanistan","5007","Area from MODIS","6977","Végétation arbustive et/ou herbacée, aquatique ou régulièrement inondée","2018","2018","1000 ha","4.6152","FC","Donnée calculée"
"LC","Occupation des sols","2","Afghanistan","5007","Area from MODIS","6978","Zones à végétation naturelle clairsemée","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","2","Afghanistan","5007","Area from MODIS","6979","Terres stériles","2018","2018","1000 ha","31797.7542","FC","Donnée calculée"
"LC","Occupation des sols","2","Afghanistan","5007","Area from MODIS","6980","Neige permanente et glaciers","2018","2018","1000 ha","411.8227","FC","Donnée calculée"
"LC","Occupation des sols","2","Afghanistan","5007","Area from MODIS","6981","Étendues d’eau intérieures","2018","2018","1000 ha","2.6403","FC","Donnée calculée"
"LC","Occupation des sols","2","Afghanistan","5007","Area from MODIS","6982","Étendues d’eaux côtières et zones intertidales","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","202","Afrique du Sud","5007","Area from MODIS","6970","Surfaces artificielles, y compris les zones urbaines et associées","2018","2018","1000 ha","909.5303","FC","Donnée calculée"
"LC","Occupation des sols","202","Afrique du Sud","5007","Area from MODIS","6971","Cultures herbacées","2018","2018","1000 ha","6843.1038","FC","Donnée calculée"
"LC","Occupation des sols","202","Afrique du Sud","5007","Area from MODIS","6972","Cultures ligneuses","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","202","Afrique du Sud","5007","Area from MODIS","6973","Cultures multiples ou étagées","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","202","Afrique du Sud","5007","Area from MODIS","6983","Prairie","2018","2018","1000 ha","55518.1601","FC","Donnée calculée"
"LC","Occupation des sols","202","Afrique du Sud","5007","Area from MODIS","6974","Zones arborées","2018","2018","1000 ha","7342.7219","FC","Donnée calculée"
"LC","Occupation des sols","202","Afrique du Sud","5007","Area from MODIS","6975","Mangroves","2018","2018","1000 ha","2.6403","FC","Donnée calculée"
"LC","Occupation des sols","202","Afrique du Sud","5007","Area from MODIS","6976","Zones arbustives","2018","2018","1000 ha","49519.9957","FC","Donnée calculée"
"LC","Occupation des sols","202","Afrique du Sud","5007","Area from MODIS","6977","Végétation arbustive et/ou herbacée, aquatique ou régulièrement inondée","2018","2018","1000 ha","39.7977","FC","Donnée calculée"
"LC","Occupation des sols","202","Afrique du Sud","5007","Area from MODIS","6978","Zones à végétation naturelle clairsemée","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","202","Afrique du Sud","5007","Area from MODIS","6979","Terres stériles","2018","2018","1000 ha","2044.0658","FC","Donnée calculée"
"LC","Occupation des sols","202","Afrique du Sud","5007","Area from MODIS","6980","Neige permanente et glaciers","2018","2018","1000 ha","0","FC","Donnée calculée"
"LC","Occupation des sols","202","Afrique du Sud","5007","Area from MODIS","6981","Étendues d’eau intérieures","2018","2018","1000 ha","250.6784","FC","Donnée calculée"
"LC","Occupation des sols","202","Afrique du Sud","5007","Area from MODIS","6982","Étendues d’eaux côtières et zones intertidales","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","3","Albanie","5007","Area from MODIS","6970","Surfaces artificielles, y compris les zones urbaines et associées","2018","2018","1000 ha","20.2423","FC","Donnée calculée"
"LC","Occupation des sols","3","Albanie","5007","Area from MODIS","6971","Cultures herbacées","2018","2018","1000 ha","265.9492","FC","Donnée calculée"
"LC","Occupation des sols","3","Albanie","5007","Area from MODIS","6972","Cultures ligneuses","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","3","Albanie","5007","Area from MODIS","6973","Cultures multiples ou étagées","2018","2018","1000 ha","","NV","Non disponible"
"LC","Occupation des sols","3","Albanie","5007","Area from MODIS","6983","Prairie","2018","2018","1000 ha","803.3129","FC","Donnée calculée"
"LC","Occupation des sols","3","Albanie","5007","Area from MODIS","6974","Zones arborées","2018","2018","1000 ha","1562.2214","FC","Donnée calculée"
