Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","7021","Annual value","USD","302.2","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","7021","Annual value","USD","300.3","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","7021","Annual value","USD","342.9","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","71","Rye","2018","2018","7021","Annual value","USD","482.1","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","7021","Annual value","USD","294","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","7021","Annual value","USD","214.4","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","7021","Annual value","USD","137.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","7021","Annual value","USD","386","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","7021","Annual value","USD","226.8","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","7021","Annual value","USD","234.7","Fc","Calculated data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","71","Rye","2018","2018","7021","Annual value","USD","414.1","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","7021","Annual value","USD","234.7","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","7021","Annual value","USD","183.8","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","7021","Annual value","USD","251.8","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","7021","Annual value","USD","165.9","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","27","Rice, paddy","2018","2018","7021","Annual value","USD","289.2","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","83","Sorghum","2018","2018","7021","Annual value","USD","232.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","97","Triticale","2018","2018","7021","Annual value","USD","175.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","7021","Annual value","USD","203.2","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","7021","Annual value","USD","161.8","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","7021","Annual value","USD","165.3","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","7021","Annual value","USD","165.3","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","71","Rye","2018","2018","7021","Annual value","USD","177.1","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","97","Triticale","2018","2018","7021","Annual value","USD","160.6","","Official data"
"PP","Producer Prices","11","Austria","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","7021","Annual value","USD","181.9","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","7021","Annual value","USD","129.4","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","7021","Annual value","USD","158.8","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","79","Millet","2018","2018","7021","Annual value","USD","117.6","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","7021","Annual value","USD","105.9","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","27","Rice, paddy","2018","2018","7021","Annual value","USD","1017.6","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","71","Rye","2018","2018","7021","Annual value","USD","176.5","","Official data"
"PP","Producer Prices","52","Azerbaijan","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","7021","Annual value","USD","152.9","","Official data"
"PP","Producer Prices","16","Bangladesh","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","7021","Annual value","USD","202.1","","Official data"
"PP","Producer Prices","16","Bangladesh","5532","Producer Price (USD/tonne)","27","Rice, paddy","2018","2018","7021","Annual value","USD","214.6","","Official data"
"PP","Producer Prices","16","Bangladesh","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","7021","Annual value","USD","279.8","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","7021","Annual value","USD","143.6","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","89","Buckwheat","2018","2018","7021","Annual value","USD","265.9","","Official data"
"PP","Producer Prices","57","Belarus","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","7021","Annual value","USD","335.3","","Official data"
